关联医院code,关联医院名称,院边店code,院边店名称,"A类：
（院内店、HIS）"
N-H002404,西安中医脑病医院有限公司,#N/A,陕西壹壹壹医药有限公司西安光华路分店,N
N-H002404,西安中医脑病医院有限公司,N-R010266,老百姓大药房连锁（陕西）有限公司西安科创路店,N
N-H002404,西安中医脑病医院有限公司,N-R033758,陕西众信医药超市连锁股份有限公司西安六十二分店,N
N-H002404,西安中医脑病医院有限公司,#N/A,西安怡康医药连锁有限责任公司友谊西路六店,N
N-H002404,西安中医脑病医院有限公司,N-R002022,西安怡康医药连锁有限责任公司丁白路店,N
N-H002404,西安中医脑病医院有限公司,N-R064185,陕西泉源堂智慧药房连锁有限公司丁白路店,N
N-H002404,西安中医脑病医院有限公司,N-R055969,老百姓大药房连锁（陕西）有限公司西安电子西街店,N
N-H001736,华中科技大学同济医学院附属同济医院,N-R153418,武汉海王星辰医药连锁有限公司汉水熙园店,N
N-H001736,华中科技大学同济医学院附属同济医院,N-R046031,湖北益丰大药房连锁有限公司武汉简易路分店,N
N-H001736,华中科技大学同济医学院附属同济医院,#N/A,武汉马应龙大药房连锁股份有限公司简易路药店,N
N-H001782,武汉大学中南医院,N-R142906,湖北益生天济大药房连锁有限公司复地兴武路店,N
N-H001782,武汉大学中南医院,#N/A,武汉马应龙大药房连锁股份有限公司汉街药店,N
N-H001782,武汉大学中南医院,N-R152659,武汉海王星辰医药连锁有限公司复地东湖二店,N
N-H001782,武汉大学中南医院,#N/A,湖北益丰大药房连锁有限公司武汉兴武路分店,N
N-H001782,武汉大学中南医院,#N/A,湖北益生天济大药房连锁有限公司东湖复地店,N
N-H001782,武汉大学中南医院,N-R154587,武汉海王星辰医药连锁有限公司中北路店,N
N-H001782,武汉大学中南医院,#N/A,老百姓大药房连锁（湖北）有限公司武汉东湖国际店,N
N-H001782,武汉大学中南医院,N-R045708,湖北益丰大药房连锁有限公司武汉兴国北路分店,N
N-H001758,武汉市中西医结合医院（武汉市第一医院）,N-R045684,湖北益丰大药房连锁有限公司武汉利济北路分店,N
N-H001758,武汉市中西医结合医院（武汉市第一医院）,N-R153420,武汉海王星辰医药连锁有限公司利济南路店,N
N-H001758,武汉市中西医结合医院（武汉市第一医院）,N-R153935,武汉海王星辰医药连锁有限公司利济北路分店,N
N-H001758,武汉市中西医结合医院（武汉市第一医院）,#N/A,湖北益丰大药房连锁有限公司武汉利济南路分店,N
N-H001758,武汉市中西医结合医院（武汉市第一医院）,#N/A,湖北益丰大药房连锁有限公司武汉利济东街分店,N
N-H001758,武汉市中西医结合医院（武汉市第一医院）,#N/A,湖北益丰大药房连锁有限公司武汉友谊路分店,N
N-H001758,武汉市中西医结合医院（武汉市第一医院）,#N/A,湖北益丰大药房连锁有限公司武汉武胜路分店,N
N-H001758,武汉市中西医结合医院（武汉市第一医院）,#N/A,湖北益丰大药房连锁有限公司武汉民意上街分店,N
N-H001758,武汉市中西医结合医院（武汉市第一医院）,N-R038595,湖北益丰大药房连锁有限公司武汉居仁门分店,N
N-H001758,武汉市中西医结合医院（武汉市第一医院）,#N/A,湖北益丰大药房连锁有限公司武汉武胜里分店,N
N-H001864,长沙市中心医院,#N/A,湖南达嘉维康医药产业股份有限公司韶山南路分店,N
N-H001864,长沙市中心医院,#N/A,益丰大药房连锁股份有限公司益丰便利阳光一佰店,N
N-H001864,长沙市中心医院,#N/A,益丰大药房连锁股份有限公司益丰便利阳光路店,N
N-H001864,长沙市中心医院,#N/A,益丰大药房连锁股份有限公司益丰便利后湖路店,N
N-H001864,长沙市中心医院,#N/A,益丰大药房连锁股份有限公司长沙阳光路店,N
N-H001864,长沙市中心医院,N-R154755,湖南海王星辰健康药房连锁有限公司长沙阳光壹佰分店,N
N-H001864,长沙市中心医院,#N/A,湖南九芝堂零售连锁有限公司阳光壹佰药店,N
N-H001864,长沙市中心医院,#N/A,益丰大药房连锁股份有限公司长沙桔园小区店,N
N-H001864,长沙市中心医院,#N/A,益丰大药房连锁股份有限公司长沙香颂国际店,N
N-H001864,长沙市中心医院,N-R028793,益丰大药房连锁股份有限公司长沙林学院分店,N
N-H001864,长沙市中心医院,#N/A,益丰大药房连锁股份有限公司长沙金地华园店,N
N-H001864,长沙市中心医院,N-R046204,益丰大药房连锁股份有限公司长沙王家冲分店,N
N-H001817,岳阳市人民医院,#N/A,益丰大药房连锁股份有限公司岳阳汇景城店,N
N-H001817,岳阳市人民医院,#N/A,益丰大药房连锁股份有限公司岳阳富兴康城店,N
N-H001817,岳阳市人民医院,#N/A,湖南千金大药房连锁有限公司岳阳八字门店,N
N-H001817,岳阳市人民医院,#N/A,益丰大药房连锁股份有限公司岳阳富兴鹏城店,N
N-H001817,岳阳市人民医院,#N/A,益丰大药房连锁股份有限公司岳阳营盘岭路店,N
N-H001817,岳阳市人民医院,#N/A,益丰大药房连锁股份有限公司岳阳恒源玖章店,N
N-H001817,岳阳市人民医院,#N/A,益丰大药房连锁股份有限公司岳阳青年东路店,N
N-H000903,南方医科大学第三附属医院（广东省骨科研究院，广东省骨科医院）,N-R113826,广州市海王星辰医药连锁有限公司景邮路药房,N
N-H000903,南方医科大学第三附属医院（广东省骨科研究院，广东省骨科医院）,N-R113609,广州市海王星辰医药连锁有限公司华景路健康药房,N
N-H000903,南方医科大学第三附属医院（广东省骨科研究院，广东省骨科医院）,N-R044478,大参林医药集团股份有限公司第七百零九分店,N
N-H000903,南方医科大学第三附属医院（广东省骨科研究院，广东省骨科医院）,N-R044495,大参林医药集团股份有限公司华景分店,N
N-H000903,南方医科大学第三附属医院（广东省骨科研究院，广东省骨科医院）,#N/A,广东大参林柏康连锁药店有限公司广州大道北分店,N
N-H000903,南方医科大学第三附属医院（广东省骨科研究院，广东省骨科医院）,N-R044523,大参林医药集团股份有限公司第六千一百七十一分店,N
N-H000903,南方医科大学第三附属医院（广东省骨科研究院，广东省骨科医院）,N-R154654,广州市海王星辰医药连锁有限公司天河保利天汇分店,N
N-H036871,湖南中医药高等专科学校附属第一医院（湖南省直中医医院）,#N/A,湖南千金大药房连锁有限公司株洲人民路连锁店,N
N-H036871,湖南中医药高等专科学校附属第一医院（湖南省直中医医院）,N-R049687,益丰大药房连锁股份有限公司株洲公园路分店,N
N-H036871,湖南中医药高等专科学校附属第一医院（湖南省直中医医院）,#N/A,湖南千金大药房连锁有限公司株洲贺嘉路连锁店,N
N-H036871,湖南中医药高等专科学校附属第一医院（湖南省直中医医院）,N-R046213,益丰大药房连锁股份有限公司株洲贺家土分店,N
N-H013470,北海市人民医院,N-R036718,广西桂中大药房连锁有限责任公司北海解放路分公司,N
N-H013470,北海市人民医院,N-R017486,梧州市大参林连锁药店有限公司北海北部湾中分店,N
N-H013470,北海市人民医院,#N/A,广西鸿翔一心堂药业有限责任公司北海市北部湾中路店,N
N-H013470,北海市人民医院,N-R116140,广西大参林连锁药店有限公司北海靖安路分店,N
N-H001847,湘潭市第一人民医院,#N/A,益丰大药房连锁股份有限公司湘潭友谊一号店,N
N-H001847,湘潭市第一人民医院,N-R046126,益丰大药房连锁股份有限公司湘潭书院路分店,N
N-H001847,湘潭市第一人民医院,N-R155018,湖南九芝堂零售连锁有限公司湘潭市下摄司药店,N
N-H001846,湘潭市中心医院,#N/A,湖南达嘉维康医药产业股份有限公司雨湖路分店,N
N-H001846,湘潭市中心医院,N-R038611,益丰大药房连锁股份有限公司湘潭雨湖路分店,N
N-H001846,湘潭市中心医院,N-R046112,益丰大药房连锁股份有限公司湘潭车站路分店,N
N-H001846,湘潭市中心医院,N-R028926,益丰大药房连锁股份有限公司湘潭广云路分店,N
N-H023733,贵港市人民医院,#N/A,广西桂中大药房连锁有限责任公司桂平市桂南路分公司,N
N-H023733,贵港市人民医院,N-R044355,广西大参林连锁药店有限公司桂平中山分店,N
N-H023733,贵港市人民医院,#N/A,广西鸿翔一心堂药业有限责任公司桂平中山路五店,N
N-H023733,贵港市人民医院,N-R044350,广西大参林连锁药店有限公司桂平老干路分店,N
N-H023733,贵港市人民医院,#N/A,广西鸿翔一心堂药业有限责任公司桂平中山路三店,N
N-H023733,贵港市人民医院,#N/A,广西大参林连锁药店有限公司桂平四中路口分公司,N
N-H023733,贵港市人民医院,#N/A,广西鸿翔一心堂药业有限责任公司桂平市中山路二店,N
N-H023733,贵港市人民医院,#N/A,广西鸿翔一心堂药业有限责任公司桂平桂江路店,N
N-H023733,贵港市人民医院,#N/A,广西鸿翔一心堂药业有限责任公司桂平桂南路二店,N
N-H023733,贵港市人民医院,#N/A,广西鸿翔一心堂药业有限责任公司桂平郁江湾花园小区店,N
N-H023733,贵港市人民医院,#N/A,广西鸿翔一心堂药业有限责任公司桂平中山路四店,N
N-H023733,贵港市人民医院,#N/A,广西大参林连锁药店有限公司桂平大龙城分公司,N
N-H023733,贵港市人民医院,N-R072754,广西大参林连锁药店有限公司桂平郁江路分店,N
N-H023733,贵港市人民医院,#N/A,广西鸿翔一心堂药业有限责任公司桂平浔州路店,N
N-H023733,贵港市人民医院,#N/A,广西大参林连锁药店有限公司桂平明珠广场分店,N
N-H023733,贵港市人民医院,#N/A,广西鸿翔一心堂药业有限责任公司桂平桂南路三店,N
N-H006733,娄底市中心医院,N-R055629,益丰大药房连锁股份有限公司娄底东贸街店,N
N-H006733,娄底市中心医院,#N/A,益丰大药房连锁股份有限公司娄底金谷市场分店,N
N-H001805,中南大学湘雅医院,N-R152733,湖南海王星辰健康药房连锁有限公司长沙湘雅分店,N
N-H001805,中南大学湘雅医院,N-R087385,湖南达嘉维康医药产业股份有限公司华远华时代分店,N
N-H001805,中南大学湘雅医院,#N/A,湖南圆心大药房有限公司留芳分店,N
N-H001805,中南大学湘雅医院,N-R128877,益丰大药房连锁股份有限公司长沙兴汉门店,N
N-H001805,中南大学湘雅医院,#N/A,北京同仁堂长沙药店有限责任公司松桂园分店,N
N-H001805,中南大学湘雅医院,N-R046486,益丰大药房连锁股份有限公司长沙营盘路店,N
N-H001805,中南大学湘雅医院,N-R134932,益丰大药房连锁股份有限公司长沙荷花池店,N
N-H001805,中南大学湘雅医院,#N/A,湖南海王星辰健康药房连锁有限公司长沙妇幼分店,N
N-H001805,中南大学湘雅医院,N-R155015,湖南九芝堂零售连锁有限公司荷花池药店,N
N-H001142,柳州市人民医院,N-R064701,广西桂中大药房连锁有限责任公司康顺路分公司,N
N-H001142,柳州市人民医院,N-R063844,广西大参林连锁药店有限公司柳州南亚分店,N
N-H001142,柳州市人民医院,#N/A,广西桂中大药房连锁有限责任公司东环二分公司,N
N-H001142,柳州市人民医院,N-R048480,广西桂中大药房连锁有限责任公司万达分公司,N
N-H001142,柳州市人民医院,#N/A,广西桂中大药房连锁有限责任公司恒大御府分公司,N
N-H001142,柳州市人民医院,#N/A,广西鸿翔一心堂药业有限责任公司柳州南亚名邸小区连锁二店,N
N-H001142,柳州市人民医院,N-R069245,广西大参林连锁药店有限公司柳州南亚二分店,N
N-H001142,柳州市人民医院,#N/A,广西健之佳药店连锁有限公司柳州凯旋门分店,N
N-H001142,柳州市人民医院,#N/A,广西桂中大药房连锁有限责任公司华润二分公司,N
N-H001142,柳州市人民医院,#N/A,广西鸿翔一心堂药业有限责任公司柳州兴怡园小区连锁店,N
N-H001142,柳州市人民医院,#N/A,广西桂中大药房连锁有限责任公司兴怡园分公司,N
N-H001142,柳州市人民医院,N-R058235,柳州桂中大药房连锁有限责任公司兴怡园店,N
N-H001142,柳州市人民医院,#N/A,广西大参林连锁药店有限公司柳州兴怡园分店,N
N-H001142,柳州市人民医院,N-R081794,广西桂中大药房连锁有限责任公司马鹿山分公司,N
N-H001143,柳州市妇幼保健院（柳州市儿童医院、柳州市妇产医院、柳州市妇幼保健计划生育服务中心）城中院区,#N/A,广西大参林连锁药店有限公司柳州五一分店,N
N-H001143,柳州市妇幼保健院（柳州市儿童医院、柳州市妇产医院、柳州市妇幼保健计划生育服务中心）城中院区,N-R000180,广西桂中大药房连锁有限责任公司北站路分公司,N
N-H001143,柳州市妇幼保健院（柳州市儿童医院、柳州市妇产医院、柳州市妇幼保健计划生育服务中心）城中院区,#N/A,广西鸿翔一心堂药业有限责任公司柳州市北站路店,N
N-H001143,柳州市妇幼保健院（柳州市儿童医院、柳州市妇产医院、柳州市妇幼保健计划生育服务中心）城中院区,#N/A,广西健之佳药店连锁有限公司柳州景行路分公司,N
N-H001143,柳州市妇幼保健院（柳州市儿童医院、柳州市妇产医院、柳州市妇幼保健计划生育服务中心）城中院区,N-R116608,广西桂中大药房连锁有限责任公司五一路二分公司,N
N-H001143,柳州市妇幼保健院（柳州市儿童医院、柳州市妇产医院、柳州市妇幼保健计划生育服务中心）城中院区,#N/A,广西鸿翔一心堂药业有限责任公司柳州龙城路连锁店,N
N-H001143,柳州市妇幼保健院（柳州市儿童医院、柳州市妇产医院、柳州市妇幼保健计划生育服务中心）城中院区,#N/A,广西鸿翔一心堂药业有限责任公司柳州中山西路连锁店,N
N-H001143,柳州市妇幼保健院（柳州市儿童医院、柳州市妇产医院、柳州市妇幼保健计划生育服务中心）城中院区,#N/A,广西鸿翔一心堂药业有限责任公司柳州八一路店,N
N-H001143,柳州市妇幼保健院（柳州市儿童医院、柳州市妇产医院、柳州市妇幼保健计划生育服务中心）城中院区,N-R025506,广西桂中大药房连锁有限责任公司蓝色港湾分公司,N
N-H001143,柳州市妇幼保健院（柳州市儿童医院、柳州市妇产医院、柳州市妇幼保健计划生育服务中心）城中院区,N-R014253,广西桂中大药房连锁有限责任公司八一分公司,N
N-H001143,柳州市妇幼保健院（柳州市儿童医院、柳州市妇产医院、柳州市妇幼保健计划生育服务中心）城中院区,#N/A,广西鸿翔一心堂药业有限责任公司柳州五角星连锁店,N
N-H001143,柳州市妇幼保健院（柳州市儿童医院、柳州市妇产医院、柳州市妇幼保健计划生育服务中心）城中院区,#N/A,广西鸿翔一心堂药业有限责任公司柳州市解放北路连锁店,N
N-H001143,柳州市妇幼保健院（柳州市儿童医院、柳州市妇产医院、柳州市妇幼保健计划生育服务中心）城中院区,N-R021994,广西桂中大药房连锁有限责任公司健康广场分公司,N
N-H001143,柳州市妇幼保健院（柳州市儿童医院、柳州市妇产医院、柳州市妇幼保健计划生育服务中心）城中院区,#N/A,广西健之佳药店连锁有限公司柳州北站路分店,N
N-H001143,柳州市妇幼保健院（柳州市儿童医院、柳州市妇产医院、柳州市妇幼保健计划生育服务中心）城中院区,N-R012226,广西桂中大药房连锁有限责任公司北站二分公司,N
N-H001143,柳州市妇幼保健院（柳州市儿童医院、柳州市妇产医院、柳州市妇幼保健计划生育服务中心）城中院区,N-R011289,广西桂中大药房连锁有限责任公司广雅分公司,N
N-H001143,柳州市妇幼保健院（柳州市儿童医院、柳州市妇产医院、柳州市妇幼保健计划生育服务中心）城中院区,#N/A,广西桂中大药房连锁有限责任公司北站三分公司,N
N-H001143,柳州市妇幼保健院（柳州市儿童医院、柳州市妇产医院、柳州市妇幼保健计划生育服务中心）城中院区,N-R009808,广西桂中大药房连锁有限责任公司谷埠分公司,N
N-H001143,柳州市妇幼保健院（柳州市儿童医院、柳州市妇产医院、柳州市妇幼保健计划生育服务中心）城中院区,N-R019805,柳州桂中大药房连锁有限责任公司便民店,N
N-H000947,广州医科大学附属第二医院,N-R101736,广州市海王星辰医药连锁有限公司信和健康药房,N
N-H000947,广州医科大学附属第二医院,N-R044577,广东大参林柏康连锁药店有限公司细岗分店,N
N-H000947,广州医科大学附属第二医院,N-R044548,广东大参林柏康连锁药店有限公司南园分店,N
N-H000947,广州医科大学附属第二医院,N-R049648,大参林医药集团股份有限公司昌岗中路二分店,N
N-H000947,广州医科大学附属第二医院,N-R044526,广东大参林柏康连锁药店有限公司礼岗分店,N
N-H000947,广州医科大学附属第二医院,N-R049322,大参林医药集团股份有限公司江燕路分店,N
N-H000947,广州医科大学附属第二医院,N-R152784,广州市海王星辰医药连锁有限公司海珠海富花园健康药房,N
N-H000947,广州医科大学附属第二医院,N-R047919,大参林医药集团股份有限公司第八百八十二分店,N
N-H000947,广州医科大学附属第二医院,N-R131778,广东大参林柏康连锁药店有限公司晓园东路分店,N
N-H000947,广州医科大学附属第二医院,N-R044519,大参林医药集团股份有限公司第八百三十二分店,N
N-H000896,广东医科大学附属第三医院（佛山市顺德区龙江医院）,N-R130870,佛山市顺德区大参林药业有限公司龙江碧桂华府分店,N
N-H000896,广东医科大学附属第三医院（佛山市顺德区龙江医院）,N-R129936,佛山市顺德区大参林药业有限公司龙江联星分店,N
N-H000896,广东医科大学附属第三医院（佛山市顺德区龙江医院）,N-R113628,广州市海王星辰医药连锁有限公司佛山顺德龙江丰华第二药房,N
N-H001735,华中科技大学同济医学院附属协和医院,N-R153011,武汉海王星辰医药连锁有限公司香榭琴台店,N
N-H001735,华中科技大学同济医学院附属协和医院,N-R155812,湖北益丰大药房连锁有限公司武汉云梦台分店,N
N-H001735,华中科技大学同济医学院附属协和医院,#N/A,湖北益丰大药房连锁有限公司武汉峰景湾分店,N
N-H001735,华中科技大学同济医学院附属协和医院,#N/A,湖北益丰大药房连锁有限公司武汉北湖路分店,N
N-H001735,华中科技大学同济医学院附属协和医院,#N/A,老百姓大药房连锁（湖北）有限公司武汉北湖店,N
N-H001735,华中科技大学同济医学院附属协和医院,#N/A,老百姓大药房连锁（湖北）有限公司武汉北湖西路店,N
N-H001735,华中科技大学同济医学院附属协和医院,#N/A,湖北益丰大药房连锁有限公司武汉北湖分店,N
N-H001735,华中科技大学同济医学院附属协和医院,#N/A,好药师大药房连锁有限公司北湖西路店,N
N-H001735,华中科技大学同济医学院附属协和医院,#N/A,湖北益生天济大药房连锁有限公司北湖正街店,N
N-H001735,华中科技大学同济医学院附属协和医院,N-R168325,湖北益丰大药房连锁有限公司武汉北湖正街分店,N
N-H001735,华中科技大学同济医学院附属协和医院,N-R045641,湖北益丰大药房连锁有限公司武汉北湖西路分店,N
N-H001735,华中科技大学同济医学院附属协和医院,#N/A,湖北益生天济大药房连锁有限公司北湖西路店,N
N-H001735,华中科技大学同济医学院附属协和医院,N-R069405,老百姓大药房连锁（湖北）有限公司武汉万科汉口传奇悦庭店,N
N-H028439,广州越秀区弘康大医汇综合门诊部有限公司,N-R044448,广东大参林柏康连锁药店有限公司百灵分店,N
N-H001840,湖南省脑科医院（湖南省第二人民医院）,#N/A,湖南九芝堂零售连锁有限公司涂家冲店,N
N-H001840,湖南省脑科医院（湖南省第二人民医院）,N-R128444,益丰大药房连锁股份有限公司长沙赤岭路店,N
N-H001840,湖南省脑科医院（湖南省第二人民医院）,#N/A,湖南海王星辰健康药房连锁有限公司长沙浦沅分店,N
N-H001840,湖南省脑科医院（湖南省第二人民医院）,#N/A,益丰大药房连锁股份有限公司长沙水竹街店,N
N-H001840,湖南省脑科医院（湖南省第二人民医院）,#N/A,湖南千金大药房连锁有限公司水竹街路连锁店,N
N-H001840,湖南省脑科医院（湖南省第二人民医院）,N-R153281,湖南海王星辰健康药房连锁有限公司长沙第六都分店,N
N-H001840,湖南省脑科医院（湖南省第二人民医院）,#N/A,益丰大药房连锁股份有限公司长沙陆都小区店,N
N-H001840,湖南省脑科医院（湖南省第二人民医院）,#N/A,益丰大药房连锁股份有限公司长沙建发中央公园店,N
N-H001819,常德市第一人民医院,#N/A,湖南达嘉维康医药产业股份有限公司常德分公司,N
N-H001819,常德市第一人民医院,N-R055621,益丰大药房连锁股份有限公司常德红卫分店,N
N-H001819,常德市第一人民医院,N-R128865,益丰大药房连锁股份有限公司常德人民路永安巷店,N
N-H001819,常德市第一人民医院,N-R155685,湖南九芝堂零售连锁有限公司聂振茂药店,N
N-H001819,常德市第一人民医院,#N/A,益丰大药房连锁股份有限公司常德乐尚农贸市场店,N
N-H001819,常德市第一人民医院,N-R045882,益丰大药房连锁股份有限公司常德上东曼城店,N
N-H001819,常德市第一人民医院,N-R049666,益丰大药房连锁股份有限公司常德新一村分店,N
N-H001819,常德市第一人民医院,N-R155959,湖南九芝堂零售连锁有限公司胜利药店,N
N-H001819,常德市第一人民医院,N-R045887,益丰大药房连锁股份有限公司常德新四村分店,N
N-H001822,浏阳市人民医院,#N/A,湖南达嘉维康医药产业股份有限公司浏阳市碧桂园时代城分店,N
N-H012853,广东省妇幼保健院（广东省儿童医院，广东省妇产医院）番禺院区,N-R067912,广州市宝芝林大药房连锁有限公司兴南路店,N
N-H012853,广东省妇幼保健院（广东省儿童医院，广东省妇产医院）番禺院区,N-R125472,广东大参林柏康连锁药店有限公司第七千二百七十三分店,N
N-H012853,广东省妇幼保健院（广东省儿童医院，广东省妇产医院）番禺院区,N-R124336,广东大参林柏康连锁药店有限公司第一万二千六百七十八分店,N
N-H012853,广东省妇幼保健院（广东省儿童医院，广东省妇产医院）番禺院区,N-R081503,广州市海王星辰医药连锁有限公司广雅二健康药房,N
N-H038983,钦州市第一人民医院,N-R025503,柳州桂中大药房连锁有限责任公司钦州明阳路店,N
N-H038983,钦州市第一人民医院,N-R044427,广西大参林连锁药店有限公司钦州新阳分店,N
N-H038983,钦州市第一人民医院,#N/A,广西鸿翔一心堂药业有限责任公司钦州明阳街二店,N
N-H038983,钦州市第一人民医院,#N/A,广西鸿翔一心堂药业有限责任公司钦州新华路店,N
N-H038983,钦州市第一人民医院,N-R060851,广西桂中大药房连锁有限责任公司钦州明阳路二分公司,N
N-H038983,钦州市第一人民医院,#N/A,广西鸿翔一心堂药业有限责任公司钦州市新兴路店,N
N-H038983,钦州市第一人民医院,N-R070064,广西大参林连锁药店有限公司钦州城中南分店,N
N-H038983,钦州市第一人民医院,#N/A,广西大参林连锁药店有限公司钦州新华分店,N
N-H038983,钦州市第一人民医院,#N/A,广西鸿翔一心堂药业有限责任公司钦州市锦绣尊品小区店,N
N-H038983,钦州市第一人民医院,#N/A,广西大参林连锁药店有限公司钦北区新棠分店,N
N-H038983,钦州市第一人民医院,#N/A,广西鸿翔一心堂药业有限责任公司钦州江滨豪园小区店,N
N-H038983,钦州市第一人民医院,N-R131469,广西桂中大药房连锁有限责任公司钦州金穗分公司,N
N-H038983,钦州市第一人民医院,N-R044422,广西大参林连锁药店有限公司钦州金穗分店,N
N-H038983,钦州市第一人民医院,#N/A,广西大参林连锁药店有限公司钦州文峰北分店,N
N-H001126,广西壮族自治区人民医院,N-R142388,广西桂中大药房连锁有限责任公司南宁植物路分公司,N
N-H001126,广西壮族自治区人民医院,N-R132164,广西桂中大药房连锁有限责任公司南宁桃源路一分公司,N
N-H001126,广西壮族自治区人民医院,#N/A,柳州桂中大药房连锁有限责任公司南宁桃源路店,N
N-H001126,广西壮族自治区人民医院,#N/A,广西大参林医药连锁有限公司南宁新民路分店,N
N-H001126,广西壮族自治区人民医院,#N/A,广西健之佳药店连锁有限公司南宁七星一巷分店,N
N-H001109,南宁市第一人民医院,#N/A,柳州桂中大药房连锁有限责任公司南宁桃源路店,N
N-H001109,南宁市第一人民医院,N-R132164,广西桂中大药房连锁有限责任公司南宁桃源路一分公司,N
N-H001109,南宁市第一人民医院,N-R142388,广西桂中大药房连锁有限责任公司南宁植物路分公司,N
N-H001109,南宁市第一人民医院,#N/A,广西大参林医药连锁有限公司南宁新民路分店,N
N-H000846,东莞市中医院,N-R092005,广东嘉宝华医药连锁有限公司东莞东城怡丰分店,N
N-H000846,东莞市中医院,N-R017277,东莞市大参林连锁药店有限公司东城火炼树分店,N
N-H000846,东莞市中医院,#N/A,东莞东城国药聚丰药店有限公司,N
N-H000846,东莞市中医院,N-R097185,深圳市海王星辰健康药房连锁有限公司东莞东城丰泰健康药房,N
N-H000999,惠州市中心人民医院,N-R094154,惠州市百姓缘医药有限公司黄塘分店,N
N-H000999,惠州市中心人民医院,N-R093004,广东圆心恒金堂医药连锁有限公司惠州市启康分店,N
N-H000999,惠州市中心人民医院,#N/A,惠州市大参林药店有限公司鹅岭西分店,N
N-H000999,惠州市中心人民医院,N-R167218,惠州市百姓大药房医药连锁有限公司龙丰店,N
N-H000999,惠州市中心人民医院,N-R116105,惠州市百姓缘医药有限公司龙丰店,N
N-H000999,惠州市中心人民医院,N-R117719,惠州市百姓缘医药有限公司南湖明珠店,N
N-H000999,惠州市中心人民医院,#N/A,惠州市百姓大药房医药连锁有限公司惠城南湖明珠店,N
N-H000890,佛山市妇幼保健院,#N/A,北京同仁堂佛山连锁药店有限责任公司汾江中路店,N
N-H001029,江门市五邑中医院,N-R062124,国控国大（江门）医药有限公司华园东分店,N
N-H001029,江门市五邑中医院,N-R070943,江门大参林药店有限公司江门华园东分店,N
N-H001029,江门市五邑中医院,N-R017448,江门大参林药店有限公司江门华园分店,N
N-H001029,江门市五邑中医院,N-R128053,国控国大（江门）医药有限公司杏苑分店,N
N-H001029,江门市五邑中医院,N-R130596,国控国大（江门）医药有限公司幸福新村分店,N
N-H001029,江门市五邑中医院,N-R044799,江门大参林药店有限公司白沙分店,N
N-H001029,江门市五邑中医院,#N/A,国控国大（江门）医药有限公司北郊分店,N
N-H001029,江门市五邑中医院,#N/A,国控国大（江门）医药有限公司健生分店,N
N-H007711,梧州市人民医院,N-R073539,广西桂中大药房连锁有限责任公司梧州北山店,N
N-H007711,梧州市人民医院,N-R124798,广西桂中大药房连锁有限责任公司梧州龙平店,N
N-H019038,茂名市人民医院,#N/A,茂名大参林连锁药店有限公司化州林尘幸福分店,N
N-H019038,茂名市人民医院,N-R045000,茂名大参林连锁药店有限公司油四药店,N
N-H019038,茂名市人民医院,N-R161511,茂名大参林连锁药店有限公司万寿堂油城四分店,N
N-H019038,茂名市人民医院,N-R062745,茂名大参林连锁药店有限公司双山二药店,N
N-H019038,茂名市人民医院,#N/A,茂名大参林连锁药店有限公司万寿堂朝阳分店,N
N-H019038,茂名市人民医院,N-R047917,茂名大参林连锁药店有限公司金色家园分店,N
N-H019038,茂名市人民医院,#N/A,茂名大参林连锁药店有限公司化州绿景万达分店,N
N-H037997,高州市人民医院,N-R070044,茂名大参林连锁药店有限公司高州八峰分店,N
N-H037997,高州市人民医院,#N/A,粤西南北药行连锁（茂名）有限公司西关二店,N
N-H037997,高州市人民医院,N-R069517,华润德信行医药（广东）有限公司高州分店,N
N-H037997,高州市人民医院,N-R058835,茂名大参林连锁药店有限公司高州人医分店,N
N-H037997,高州市人民医院,#N/A,粤西南北药行连锁（茂名）有限公司西关店,N
N-H037997,高州市人民医院,N-R124367,茂名大参林连锁药店有限公司高州惠泽堂城西分店,N
N-H037997,高州市人民医院,N-R023895,茂名高济医药连锁有限公司南粤高州府前店,N
N-H037997,高州市人民医院,N-R044968,茂名大参林连锁药店有限公司高州分店,N
N-H037997,高州市人民医院,N-R121271,茂名大参林连锁药店有限公司高州博雅分店,N
N-H037997,高州市人民医院,N-R016474,茂名大参林连锁药店有限公司高州解放分店,N
N-H037997,高州市人民医院,#N/A,粤西南北药行连锁（茂名）有限公司沙河店,N
N-H037997,高州市人民医院,#N/A,茂名大参林连锁药店有限公司高州聚宝分店,N
N-H037997,高州市人民医院,N-R112397,茂名高济医药连锁有限公司南粤高州城西市场店,N
N-H037997,高州市人民医院,#N/A,茂名高济医药连锁有限公司南粤高州解放分店,N
N-H037997,高州市人民医院,N-R084101,茂名大参林连锁药店有限公司高州北街分店,N
N-H037997,高州市人民医院,N-R017300,茂名大参林连锁药店有限公司高州府前分店,N
N-H037997,高州市人民医院,#N/A,粤西南北药行连锁（茂名）有限公司城南店,N
N-H037997,高州市人民医院,N-R098426,茂名大参林连锁药店有限公司高州公园路分店,N
N-H037997,高州市人民医院,#N/A,粤西南北药行连锁（茂名）有限公司瀛州店,N
N-H000932,广东三九脑科医院,N-R124915,广州市宝芝林大药房连锁有限公司沙太路脑科店,N
N-H000932,广东三九脑科医院,N-R125430,华润德信行医药（广东）有限公司白云分店,N
N-H035100,湛江崇爱康复医院,N-R097654,湛江天马大药房连锁有限公司第五分店,N
